Checking_Account_Status,Duration,Credit_History,Purpose,Credit_Amount,Savings_Account,Employment_Duration,Installment_Rate,Personal_Status_Sex,Other_Debtors,Residence_Duration,Property,Age,Other_Installment_Plans,Housing,Existing_Credits,Job,Num_Dependents,Telephone,Foreign_Worker,Target
<_0_DM,8,Critical_account,Others,1164,<_100_DM,>=_7_years,3,Male:_single,NoNe,4,Unknown/None,51,Bank,For_free,2,Management/Self-employed,2,Yes,Yes,0
0-200_DM,42,Critical_account,Business,5954,<_100_DM,4-7_years,2,Female:_divorced/separated/married,NoNe,1,Real_estate,41,Bank,Own,2,Unskilled_-_resident,1,NoNe,Yes,0
<_0_DM,36,Existing_credits_paid,Education,1977,Unknown/None,>=_7_years,4,Male:_single,NoNe,4,Unknown/None,40,NoNe,Own,1,Management/Self-employed,1,Yes,Yes,1
<_0_DM,12,Critical_account,Car_(used),1526,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Unknown/None,66,NoNe,For_free,2,Management/Self-employed,1,NoNe,Yes,0
<_0_DM,42,Existing_credits_paid,Radio/Television,3965,<_100_DM,<_1_year,4,Male:_single,NoNe,3,Car_or_other,34,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,1
0-200_DM,11,Delay_in_past,Radio/Television,4771,<_100_DM,4-7_years,2,Male:_single,NoNe,4,Building_society_savings,51,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,54,No_credits_/__all_paid,Car_(used),9436,Unknown/None,1-4_years,2,Male:_single,NoNe,2,Building_society_savings,39,NoNe,Own,1,Unskilled_-_resident,2,NoNe,Yes,0
0-200_DM,30,Existing_credits_paid,Furniture/Equipment,3832,<_100_DM,<_1_year,2,Male:_married/widowed,NoNe,1,Building_society_savings,22,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,24,Existing_credits_paid,Radio/Television,5943,Unknown/None,<_1_year,1,Female:_divorced/separated/married,NoNe,1,Car_or_other,44,NoNe,Own,2,Skilled_employee,1,Yes,Yes,1
No_checking_account,15,Existing_credits_paid,Radio/Television,1213,500-1000_DM,>=_7_years,4,Male:_single,NoNe,3,Building_society_savings,47,Stores,Own,1,Skilled_employee,1,Yes,Yes,0
No_checking_account,18,Existing_credits_paid,Business,1568,100-500_DM,1-4_years,3,Female:_divorced/separated/married,NoNe,4,Building_society_savings,24,NoNe,Rent,1,Unskilled_-_resident,1,NoNe,Yes,0
<_0_DM,24,Existing_credits_paid,Others,1755,<_100_DM,>=_7_years,4,Female:_divorced/separated/married,Guarantor,4,Real_estate,58,NoNe,Own,1,Unskilled_-_resident,1,Yes,Yes,0
<_0_DM,10,Existing_credits_paid,Radio/Television,2315,<_100_DM,>=_7_years,3,Male:_single,NoNe,4,Real_estate,52,NoNe,Own,1,Unskilled_-_resident,1,NoNe,Yes,0
No_checking_account,12,Critical_account,Business,1412,<_100_DM,1-4_years,4,Female:_divorced/separated/married,Guarantor,2,Real_estate,29,NoNe,Own,2,Management/Self-employed,1,Yes,Yes,0
0-200_DM,18,Critical_account,Furniture/Equipment,1295,<_100_DM,<_1_year,4,Female:_divorced/separated/married,NoNe,1,Building_society_savings,27,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,0
0-200_DM,36,Existing_credits_paid,Education,12612,100-500_DM,1-4_years,1,Male:_single,NoNe,4,Unknown/None,47,NoNe,For_free,1,Skilled_employee,2,Yes,Yes,1
<_0_DM,18,Existing_credits_paid,Car_(new),2249,100-500_DM,4-7_years,4,Male:_single,NoNe,3,Car_or_other,30,NoNe,Own,1,Management/Self-employed,2,Yes,Yes,0
<_0_DM,12,No_credits_/__all_paid,Repairs,1108,<_100_DM,4-7_years,4,Male:_single,NoNe,3,Real_estate,28,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,1
No_checking_account,12,Critical_account,Radio/Television,618,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Real_estate,56,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
<_0_DM,12,Critical_account,Car_(used),1409,<_100_DM,>=_7_years,4,Male:_single,NoNe,3,Real_estate,54,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,12,Critical_account,Radio/Television,797,Unknown/None,>=_7_years,4,Female:_divorced/separated/married,NoNe,3,Building_society_savings,33,Bank,Own,1,Unskilled_-_resident,2,NoNe,Yes,1
>=_200_DM,24,Critical_account,Furniture/Equipment,3617,Unknown/None,>=_7_years,4,Male:_single,Co-applicant,4,Unknown/None,20,NoNe,Rent,2,Skilled_employee,1,NoNe,Yes,0
0-200_DM,12,Existing_credits_paid,Car_(new),1318,>=_1000_DM,>=_7_years,4,Male:_single,NoNe,4,Real_estate,54,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,54,No_credits_/__all_paid,Business,15945,<_100_DM,<_1_year,3,Male:_single,NoNe,4,Unknown/None,58,NoNe,Rent,1,Skilled_employee,1,Yes,Yes,1
No_checking_account,12,Critical_account,Education,2012,Unknown/None,4-7_years,4,Female:_divorced/separated/married,NoNe,2,Car_or_other,61,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,18,Existing_credits_paid,Business,2622,100-500_DM,1-4_years,4,Male:_single,NoNe,4,Car_or_other,34,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,36,Critical_account,Radio/Television,2337,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Real_estate,36,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,20,Delay_in_past,Car_(used),7057,Unknown/None,4-7_years,3,Male:_single,NoNe,4,Building_society_savings,36,Bank,Rent,2,Management/Self-employed,2,Yes,Yes,0
No_checking_account,24,Existing_credits_paid,Car_(new),1469,100-500_DM,>=_7_years,4,Male:_married/widowed,NoNe,4,Real_estate,41,NoNe,Rent,1,Unskilled_-_resident,1,NoNe,Yes,0
0-200_DM,36,Existing_credits_paid,Radio/Television,2323,<_100_DM,4-7_years,4,Male:_single,NoNe,4,Car_or_other,24,NoNe,Rent,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,6,Delay_in_past,Radio/Television,932,<_100_DM,1-4_years,3,Female:_divorced/separated/married,NoNe,2,Real_estate,24,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,9,Critical_account,Furniture/Equipment,1919,<_100_DM,4-7_years,4,Male:_single,NoNe,3,Car_or_other,35,NoNe,Rent,1,Skilled_employee,1,Yes,Yes,0
No_checking_account,12,Existing_credits_paid,Car_(used),2445,Unknown/None,<_1_year,2,Male:_married/widowed,NoNe,4,Car_or_other,26,NoNe,Rent,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,24,Critical_account,Others,11938,<_100_DM,1-4_years,2,Male:_single,Co-applicant,3,Car_or_other,39,NoNe,Own,2,Management/Self-employed,2,Yes,Yes,1
No_checking_account,18,All_credits_paid_at_bank,Car_(new),6458,<_100_DM,>=_7_years,2,Male:_single,NoNe,4,Unknown/None,39,Bank,Own,2,Management/Self-employed,2,Yes,Yes,1
0-200_DM,12,Existing_credits_paid,Car_(new),6078,<_100_DM,4-7_years,2,Male:_single,NoNe,2,Car_or_other,32,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
<_0_DM,24,Existing_credits_paid,Furniture/Equipment,7721,Unknown/None,<_1_year,1,Female:_divorced/separated/married,NoNe,2,Building_society_savings,30,NoNe,Own,1,Skilled_employee,1,Yes,No,0
0-200_DM,14,Existing_credits_paid,Business,1410,500-1000_DM,>=_7_years,1,Male:_married/widowed,NoNe,2,Real_estate,35,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,6,Delay_in_past,Business,1449,100-500_DM,>=_7_years,1,Male:_divorced/separated,NoNe,2,Car_or_other,31,Bank,Own,2,Skilled_employee,2,NoNe,Yes,0
>=_200_DM,15,Existing_credits_paid,Education,392,<_100_DM,<_1_year,4,Female:_divorced/separated/married,NoNe,4,Building_society_savings,23,NoNe,Rent,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,18,Existing_credits_paid,Car_(new),6260,<_100_DM,4-7_years,3,Male:_single,NoNe,3,Real_estate,28,NoNe,Rent,1,Unskilled_-_resident,1,NoNe,Yes,0
No_checking_account,36,Critical_account,Car_(new),7855,<_100_DM,1-4_years,4,Female:_divorced/separated/married,NoNe,2,Real_estate,25,Stores,Own,2,Skilled_employee,1,Yes,Yes,1
<_0_DM,12,Existing_credits_paid,Radio/Television,1680,500-1000_DM,>=_7_years,3,Male:_married/widowed,NoNe,1,Real_estate,35,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,48,Critical_account,Radio/Television,3578,Unknown/None,>=_7_years,4,Male:_single,NoNe,1,Real_estate,47,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
<_0_DM,42,Existing_credits_paid,Radio/Television,7174,Unknown/None,4-7_years,4,Female:_divorced/separated/married,NoNe,3,Car_or_other,30,NoNe,Own,1,Management/Self-employed,1,Yes,Yes,1
<_0_DM,10,Critical_account,Furniture/Equipment,2132,Unknown/None,<_1_year,2,Female:_divorced/separated/married,Co-applicant,3,Real_estate,27,NoNe,Rent,2,Skilled_employee,1,NoNe,No,0
<_0_DM,33,Critical_account,Furniture/Equipment,4281,500-1000_DM,1-4_years,1,Female:_divorced/separated/married,NoNe,4,Car_or_other,23,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,1
0-200_DM,12,Critical_account,Car_(new),2366,500-1000_DM,4-7_years,3,Male:_divorced/separated,NoNe,3,Car_or_other,36,NoNe,Own,1,Management/Self-employed,1,Yes,Yes,0
<_0_DM,21,Existing_credits_paid,Radio/Television,1835,<_100_DM,1-4_years,3,Female:_divorced/separated/married,NoNe,2,Real_estate,25,NoNe,Own,2,Skilled_employee,1,Yes,Yes,1
No_checking_account,24,Critical_account,Car_(used),3868,<_100_DM,>=_7_years,4,Female:_divorced/separated/married,NoNe,2,Car_or_other,41,NoNe,Rent,2,Management/Self-employed,1,Yes,Yes,0
No_checking_account,12,Existing_credits_paid,Furniture/Equipment,1768,<_100_DM,1-4_years,3,Male:_single,NoNe,2,Real_estate,24,NoNe,Rent,1,Unskilled_-_resident,1,NoNe,Yes,0
>=_200_DM,10,Critical_account,Car_(new),781,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Unknown/None,63,NoNe,For_free,2,Skilled_employee,1,Yes,Yes,0
0-200_DM,18,Existing_credits_paid,Furniture/Equipment,1924,Unknown/None,<_1_year,4,Female:_divorced/separated/married,NoNe,3,Real_estate,27,NoNe,Rent,1,Skilled_employee,1,NoNe,Yes,1
<_0_DM,12,Critical_account,Car_(new),2121,<_100_DM,1-4_years,4,Male:_single,NoNe,2,Building_society_savings,30,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,0
<_0_DM,12,Existing_credits_paid,Radio/Television,701,<_100_DM,1-4_years,4,Male:_married/widowed,NoNe,2,Real_estate,40,NoNe,Own,1,Unskilled_-_resident,1,NoNe,Yes,0
0-200_DM,12,Existing_credits_paid,Repairs,639,<_100_DM,1-4_years,4,Male:_single,NoNe,2,Car_or_other,30,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,1
0-200_DM,12,Critical_account,Car_(used),1860,<_100_DM,Unemployed,4,Male:_single,NoNe,2,Car_or_other,34,NoNe,Own,2,Management/Self-employed,1,Yes,Yes,0
<_0_DM,12,Critical_account,Car_(new),3499,<_100_DM,1-4_years,3,Female:_divorced/separated/married,Co-applicant,2,Real_estate,29,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,1
0-200_DM,48,Existing_credits_paid,Car_(new),8487,Unknown/None,4-7_years,1,Female:_divorced/separated/married,NoNe,2,Car_or_other,24,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
<_0_DM,36,Delay_in_past,Education,6887,<_100_DM,1-4_years,4,Male:_single,NoNe,3,Building_society_savings,29,Stores,Own,1,Skilled_employee,1,Yes,Yes,1
No_checking_account,15,Existing_credits_paid,Furniture/Equipment,2708,<_100_DM,<_1_year,2,Male:_single,NoNe,3,Building_society_savings,27,Bank,Own,2,Unskilled_-_resident,1,NoNe,Yes,0
No_checking_account,18,Existing_credits_paid,Furniture/Equipment,1984,<_100_DM,1-4_years,4,Male:_single,NoNe,4,Unknown/None,47,Bank,For_free,2,Skilled_employee,1,NoNe,Yes,0
No_checking_account,60,Existing_credits_paid,Radio/Television,10144,100-500_DM,4-7_years,2,Female:_divorced/separated/married,NoNe,4,Real_estate,21,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
No_checking_account,12,Critical_account,Radio/Television,1240,Unknown/None,>=_7_years,4,Female:_divorced/separated/married,NoNe,2,Real_estate,38,NoNe,Own,2,Skilled_employee,1,Yes,Yes,0
No_checking_account,27,Delay_in_past,Car_(used),8613,>=_1000_DM,1-4_years,2,Male:_single,NoNe,2,Car_or_other,27,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,0
0-200_DM,12,Existing_credits_paid,Radio/Television,766,500-1000_DM,1-4_years,4,Male:_single,NoNe,3,Real_estate,66,NoNe,Own,1,Unskilled_-_resident,1,NoNe,Yes,1
0-200_DM,15,Critical_account,Radio/Television,2728,Unknown/None,4-7_years,4,Male:_single,Guarantor,2,Real_estate,35,Bank,Own,3,Skilled_employee,1,Yes,Yes,0
